business_unit,job_id,job_date,revenue,labor,materials,gross_profit,gpm_percent
Andy's Painting-Production,388899959,2025-10-20,5060.75,1253.0,1069.33,2738.42,54.11
Andy's Painting-Production,389478663,2025-10-20,4496.0,1785.0,603.45,2107.55,46.88
Andy's Painting-Production,388524852,2025-10-20,4030.76,1200.0,402.87,2427.89,60.23
Andy's Painting-Production,388525076,2025-10-20,3000.0,900.0,239.75,1860.25,62.01
Andy's Painting-Production,388981346,2025-10-20,2947.6,50.0,441.28,2456.32,83.33
Andy's Painting-Production,389324885,2025-10-20,2139.46,2000.0,593.77,-454.31,-21.23
Andy's Painting-Production,388742795,2025-10-20,1192.3,285.0,269.63,637.67,53.48
Andy's Painting-Production,389126602,2025-10-20,1148.8,500.0,362.28,286.52,24.94
Andy's Painting-Production,397652196,2025-10-20,854.0,300.0,49.5,504.5,59.07
Andy's Painting-Production,397643260,2025-10-20,0.0,0.0,0.0,0.0,
Andy's Painting-Production,397672609,2025-10-20,0.0,0.0,0.0,0.0,
Andy's Painting-Production,397576600,2025-10-20,0.0,0.0,167.45,-167.45,
Andy's Painting-Production,397657930,2025-10-20,0.0,0.0,0.0,0.0,
Andy's Painting-Production,397653981,2025-10-20,0.0,200.0,0.0,-200.0,
Andy's Painting-Production,389618389,2025-10-20,0.0,73.33,0.0,-73.33,
Andy's Painting-Production,397644081,2025-10-20,0.0,0.0,0.0,0.0,
Andy's Painting-Production,389126650,2025-10-21,2096.0,800.0,241.1,1054.9,50.33
Andy's Painting-Production,397734996,2025-10-21,0.0,0.0,0.0,0.0,
Andy's Painting-Production,397715561,2025-10-21,0.0,0.0,0.0,0.0,
Andy's Painting-Production,397706721,2025-10-21,0.0,0.0,0.0,0.0,
Andy's Painting-Production,397692507,2025-10-21,0.0,158.0,0.0,-158.0,
Andy's Painting-Production,397711456,2025-10-21,0.0,0.0,0.0,0.0,
Andy's Painting-Production,389284427,2025-10-22,2925.0,877.0,510.36,1537.64,52.57
Andy's Painting-Production,389182944,2025-10-22,1420.0,800.0,164.2,455.8,32.1
Andy's Painting-Production,389186404,2025-10-22,650.0,195.0,82.16,372.84,57.36
Andy's Painting-Production,389323999,2025-10-22,480.0,200.0,0.0,280.0,58.33
